id,funded_amount,loan_amount,activity,sector,use,country_code,borrower_genders,date,polarity_score,neutral,negative,positive,sentiment
789022,1775.0,1775.0,Higher education costs,Education,to pay for university expenses.,PY,female,2014-10-25,0.0,1.0,0.0,0.0,Neutral
885931,175.0,175.0,Food Stall,Food,to buy ingredients like pork skin to make her business successful and sustainable,PH,female,2015-05-15,0.0,1.0,0.0,0.0,Neutral
1088121,125.0,125.0,Clothing,Clothing,purchase clothes for my business,KE,female,2015-03-20,0.0,1.0,0.0,0.0,Neutral
715155,1000.0,1000.0,Fruits & Vegetables,Food,To buy a small truck to deliver cabbage to other regions.,NI,male,2014-05-23,0.0,1.0,0.0,0.0,Neutral
982512,50.0,50.0,Farm Supplies,Agriculture,to pay for a harvesting/pruning knife.,GH,female,2015-11-20,0.0,1.0,0.0,0.0,Neutral
739432,475.0,475.0,Higher education costs,Education,to pay for the tuition and miscellaneous fees for her son.,PH,female,2014-07-16,0.0,1.0,0.0,0.0,Neutral
1216940,125.0,125.0,General Store,Retail,"to buy stock for her store, such as canned goods, noodles, eggs, cooking oil, spices, snack foods, mosquito repellent, powdered drinks and other commodities, and soft drinks.",PH,female,2017-01-08,0.0,1.0,0.0,0.0,Neutral
1159501,425.0,425.0,Cereals,Food,to buy rice to sell.,PH,female,2016-09-28,0.0,1.0,0.0,0.0,Neutral
1177384,175.0,175.0,Cereals,Food,to buy harvested rice to sell.,PH,female,2016-10-31,0.0,1.0,0.0,0.0,Neutral
980038,300.0,300.0,Farming,Agriculture,to pay for land and seedbed preparations.,PH,female,2015-11-17,0.0,1.0,0.0,0.0,Neutral
1192327,1975.0,1975.0,Bakery,Food,to buy a new oven for his bakery.,PS,male,2016-11-24,0.0,1.0,0.0,0.0,Neutral
1098422,150.0,150.0,General Store,Retail,"to buy items to sell like canned goods, personal care products, drinks, spices, bread, shampoo and snack foods.",PH,female,2016-06-13,0.0,1.0,0.0,0.0,Neutral
1055621,650.0,650.0,Higher education costs,Education,To pay the university tuition for her son as he studies at the university.,TJ,female,2016-04-18,0.0,1.0,0.0,0.0,Neutral
1030924,825.0,825.0,Food Production/Sales,Food,to purchase corn and firewood which is on offer at a low price.,SV,female,2016-02-29,0.0,1.0,0.0,0.0,Neutral
1031593,275.0,275.0,Embroidery,Arts,to buy braid rope and undewear,TR,female,2016-03-01,0.0,1.0,0.0,0.0,Neutral
1063327,2000.0,2000.0,Poultry,Agriculture,to buy poultry for her farm,PS,female,2016-05-01,0.0,1.0,0.0,0.0,Neutral
1071624,125.0,125.0,Food Production/Sales,Food,"to buy stock of street foods such as kikiam, fish balls and squid balls to sell.",PH,male,2016-05-19,0.0,1.0,0.0,0.0,Neutral
991160,900.0,900.0,Personal Medical Expenses,Health,to pay for a cesarean section,MX,female,2015-12-07,0.0,1.0,0.0,0.0,Neutral
819525,600.0,600.0,Food Production/Sales,Food,"to buy bread, a box of sausage, a box of chicken, vegetable oil, a fry pan, and containers",WS,female,2014-12-23,0.0,1.0,0.0,0.0,Neutral
1001600,825.0,825.0,Grocery Store,Food,to buy more goods and products for her grocery store,LB,female,2015-12-29,0.0,1.0,0.0,0.0,Neutral
720467,1650.0,1650.0,Sewing,Services,to buy a sewing machine and related tools to develop her business,TJ,female,2014-06-05,0.0,1.0,0.0,0.0,Neutral
695974,150.0,150.0,General Store,Retail,"to buy shampoo, groceries and other items to sell.",PH,female,2014-04-10,0.0,1.0,0.0,0.0,Neutral
752915,250.0,250.0,Fruits & Vegetables,Food,buy more stock of fruits,KE,female,2014-08-12,0.0,1.0,0.0,0.0,Neutral
1228738,5325.0,5325.0,Carpentry,Construction,to buy wood in quantity to use in her carpentry workshop.,PY,"female, female, female, female, female, female, female, female, female, female, female, female, female, female, female, female, female, female, female, female, female, female",2017-01-29,0.0,1.0,0.0,0.0,Neutral
1139894,150.0,150.0,Shoe Sales,Retail,to buy shoes for selling,KE,male,2016-08-25,0.0,1.0,0.0,0.0,Neutral
865428,350.0,350.0,Higher education costs,Education,to pay his third-year tuition fees.,KH,male,2015-04-02,0.0,1.0,0.0,0.0,Neutral
1212182,850.0,850.0,Sewing,Services,to buy fabric and a sewing machine to increase production.,CO,female,2016-12-28,0.0,1.0,0.0,0.0,Neutral
701441,175.0,175.0,Home Energy,Personal Use,To acquire an efficient cooking energy solution from Liquefied Petroleum Gas,UG,male,2014-04-23,0.0,1.0,0.0,0.0,Neutral
937154,225.0,225.0,Food Production/Sales,Food,"to purchase ingredients like sugar, flour, yeast, cooking oil, etc. for her food production business.",PH,female,2015-08-23,0.0,1.0,0.0,0.0,Neutral
1202960,200.0,200.0,Fruits & Vegetables,Food,"to purchase green vegetables, two crates of tomatoes, and onions for resale.",KE,female,2016-12-13,0.0,1.0,0.0,0.0,Neutral
835201,1000.0,1000.0,Clothing,Clothing,to buy goods for selling,TJ,male,2015-02-02,0.0,1.0,0.0,0.0,Neutral
1244162,2525.0,2525.0,Cloth & Dressmaking Supplies,Retail,"to buy five boxes of thread, 10 packets of zips, and three bundles of fabric.",BF,"male, male, male",2017-02-22,0.0,1.0,0.0,0.0,Neutral
934937,500.0,500.0,Used Clothing,Clothing,to purchase bales of clothes for resale.,KE,female,2015-08-19,0.0,1.0,0.0,0.0,Neutral
663233,350.0,350.0,Tailoring,Services,to buy fabrics and threads,PH,male,2014-01-29,0.0,1.0,0.0,0.0,Neutral
1155756,525.0,525.0,Embroidery,Arts,to purchase material needed for her embroidery handicraft work to increase her income to pay for her children's education.,XK,female,2016-09-22,0.0,1.0,0.0,0.0,Neutral
1099435,275.0,275.0,Poultry,Agriculture,to purchase chicks and some feed.,MG,male,2016-06-14,0.0,1.0,0.0,0.0,Neutral
685562,800.0,800.0,Agriculture,Agriculture,To purchase agricultural supplies to help and maintain her carrot crops.,HN,female,2014-03-18,0.0,1.0,0.0,0.0,Neutral
853707,350.0,350.0,Dairy,Agriculture,to pay for a dairy cow,KE,male,2015-03-11,0.0,1.0,0.0,0.0,Neutral
912778,700.0,700.0,Retail,Retail,to buy bananas.,RW,female,2015-07-03,0.0,1.0,0.0,0.0,Neutral
1031003,1000.0,1000.0,Food Market,Food,"to buy hamburgers, hot dogs, meat, chicken, vegetables, breads, etc. to keep selling fast food.",SV,male,2016-02-29,0.0,1.0,0.0,0.0,Neutral
1018975,3975.0,3975.0,Restaurant,Food,to expand her restaurant business by purchasing varieties of food and drinks to sell,RW,"female, female, male, female, male, female, female, female, male, female, male, female, female, female, male, female",2016-02-05,0.0,1.0,0.0,0.0,Neutral
750940,250.0,250.0,General Store,Retail,"to buy grocery items, toiletries and beverages needed in her business.",PH,female,2014-08-07,0.0,1.0,0.0,0.0,Neutral
1165701,200.0,200.0,Food Production/Sales,Food,"to buy ingredients such as peanuts and salt, and other supplies needed in her business.",PH,female,2016-10-11,0.0,1.0,0.0,0.0,Neutral
1110266,125.0,450.0,General Store,Retail,"to buy additional grocery items, including oil, milk, sugar, juices, etc.",PK,female,2016-07-01,0.0,1.0,0.0,0.0,Neutral
914083,1200.0,1200.0,Services,Services,to start her own business by paying for her set-up costs,MW,female,2015-07-07,0.0,1.0,0.0,0.0,Neutral
677142,525.0,525.0,Farming,Agriculture,to buy onion seed and fertilizer to help them grow.,SN,male,2014-02-26,0.0,1.0,0.0,0.0,Neutral
751124,175.0,175.0,Used Shoes,Clothing,to buy a bale of used shoes to sell.,UG,female,2014-08-07,0.0,1.0,0.0,0.0,Neutral
932434,450.0,450.0,Agriculture,Agriculture,to purchase farm inputs,KE,female,2015-08-14,0.0,1.0,0.0,0.0,Neutral
715113,425.0,425.0,Sewing,Services,"to buy more spools of threads in different colors along with packs of laces, zippers and buttons",PK,female,2014-05-23,0.0,1.0,0.0,0.0,Neutral
1188797,625.0,625.0,General Store,Retail,"to buy additional items to sell like home care products, beverages, canned goods, snack foods and other groceries.",PH,female,2016-11-21,0.0,1.0,0.0,0.0,Neutral
924194,250.0,250.0,General Store,Retail,"to buy a variety of grocery items, school supplies and other products for the business’ expansion.",PH,female,2015-07-28,0.0,1.0,0.0,0.0,Neutral
987766,475.0,475.0,Personal Housing Expenses,Housing,to build a latrine.,VN,female,2015-11-30,0.0,1.0,0.0,0.0,Neutral
800295,575.0,575.0,Farming,Agriculture,To plant tomatoes and buy farm inputs,KE,male,2014-11-18,0.0,1.0,0.0,0.0,Neutral
846784,150.0,150.0,Retail,Retail,to buy three bags of corn.,TG,female,2015-02-25,0.0,1.0,0.0,0.0,Neutral
1305413,475.0,475.0,Food Production/Sales,Food,to buy ingredients for her food production business,PH,female,2017-05-24,0.0,1.0,0.0,0.0,Neutral
1051657,525.0,650.0,Personal Products Sales,Retail,"to purchase an assortment in bulk such as lotions, gel, cosmetics, creams, and more.",CO,female,2016-04-08,0.0,1.0,0.0,0.0,Neutral
834383,275.0,275.0,Food Production/Sales,Food,to buy ingredients for her food production business.,PH,female,2015-01-30,0.0,1.0,0.0,0.0,Neutral
1184220,225.0,225.0,Food Stall,Food,to expand her chaat business by purchasing raw materials such as wheat and spices,IN,female,2016-11-14,0.0,1.0,0.0,0.0,Neutral
957704,100.0,100.0,General Store,Retail,"to purchase more groceries to sell like canned goods, noodles, spices, milk, drinks, coffee, bread, snack foods, etc.",PH,female,2015-10-05,0.0,1.0,0.0,0.0,Neutral
800964,350.0,350.0,Clothing Sales,Clothing,to buy more variety of clothes for sale,KE,female,2014-11-19,0.0,1.0,0.0,0.0,Neutral
1191514,275.0,275.0,Food Stall,Food,"to buy palm oil, gari, dry pepper and native rice to sell to her customers.",SL,female,2016-11-23,0.0,1.0,0.0,0.0,Neutral
994826,1025.0,1025.0,Livestock,Agriculture,to buy cattle.,BO,female,2015-12-14,0.0,1.0,0.0,0.0,Neutral
1203792,3500.0,3500.0,Grocery Store,Food,"buy merchandise such as rice, sugar, milk, oil, sodas, and beer.",PE,"male, female, female, female, female, female, female, female",2016-12-14,0.0,1.0,0.0,0.0,Neutral
1157618,375.0,375.0,General Store,Retail,to buy more stocks of groceries to sell.,PH,female,2016-09-26,0.0,1.0,0.0,0.0,Neutral
780807,1000.0,1000.0,Beauty Salon,Services,to buy new hair care implements.,CO,female,2014-10-09,0.0,1.0,0.0,0.0,Neutral
1175051,400.0,1000.0,Farming,Agriculture,to buy a lot of fodder for his cattle for keeping it fed during winter,AM,male,2016-10-26,0.0,1.0,0.0,0.0,Neutral
1274174,975.0,975.0,Retail,Retail,to purchase gifts such as pans and glassware to sell.,GT,"female, female",2017-04-05,0.0,1.0,0.0,0.0,Neutral
1235203,225.0,225.0,General Store,Retail,to buy additional stocks of groceries to sell.,PH,female,2017-02-09,0.0,1.0,0.0,0.0,Neutral
1141873,700.0,700.0,Services,Services,to buy a laptop,BO,male,2016-08-29,0.0,1.0,0.0,0.0,Neutral
961344,775.0,775.0,Food Market,Food,to buy food items.,TJ,female,2015-10-12,0.0,1.0,0.0,0.0,Neutral
1112088,2950.0,2950.0,Home Energy,Personal Use,to buy a solar power system for her house.,KH,"female, female, female, female, female, female",2016-07-06,0.0,1.0,0.0,0.0,Neutral
721245,275.0,275.0,Farming,Agriculture,to purchase seeds and fertilizers to grow maize.,IN,female,2014-06-06,0.0,1.0,0.0,0.0,Neutral
1135752,400.0,400.0,Personal Housing Expenses,Housing,to buy building materials for completion of house repairs.,TJ,female,2016-08-19,0.0,1.0,0.0,0.0,Neutral
1195510,350.0,350.0,Farming,Agriculture,to pay youths that help her bring in the corn harvest.,SV,female,2016-11-29,0.0,1.0,0.0,0.0,Neutral
752585,300.0,300.0,Farming,Agriculture,To buy seeds and fertilizers,UG,female,2014-08-11,0.0,1.0,0.0,0.0,Neutral
951480,2000.0,2000.0,Home Appliances,Personal Use,to buy a solar power system for heating water for her family's house.,PS,male,2015-09-22,0.0,1.0,0.0,0.0,Neutral
1265659,1700.0,1700.0,Farming,Agriculture,to buy fertilizer and pay for labor charges,MM,"female, female",2017-03-24,0.0,1.0,0.0,0.0,Neutral
831469,775.0,775.0,Beauty Salon,Services,"to buy perfumes, creams, cosmetics and beauty products.",EC,female,2015-01-23,0.0,1.0,0.0,0.0,Neutral
1075262,200.0,200.0,Farming,Agriculture,to purchase improved farm inputs that will increase his farm yield.,NG,male,2016-05-25,0.0,1.0,0.0,0.0,Neutral
1041814,550.0,550.0,Higher education costs,Education,to buy a laptop to access online materials related to his studies.,PS,male,2016-03-21,0.0,1.0,0.0,0.0,Neutral
790723,200.0,200.0,General Store,Retail,"to pay for grocery items, toiletries and beverages needed in her business.",PH,female,2014-10-29,0.0,1.0,0.0,0.0,Neutral
766664,475.0,475.0,Property,Housing,to buy construction materials for repairing rental houses.,KE,female,2014-09-10,0.0,1.0,0.0,0.0,Neutral
1077782,325.0,325.0,Pigs,Agriculture,to buy feed.,PH,female,2016-05-29,0.0,1.0,0.0,0.0,Neutral
829422,425.0,750.0,Personal Expenses,Personal Use,to buy building materials,TJ,male,2015-01-19,0.0,1.0,0.0,0.0,Neutral
1132795,5000.0,5000.0,Construction,Construction," me market and advertise my marble company, cover operational costs, and purchase additional vendor samples.",US,male,2016-08-11,0.0,1.0,0.0,0.0,Neutral
812094,1375.0,1375.0,Farming,Agriculture,To buy seeds and pay for the plowing fee.,KH,"female, female, female",2014-12-09,0.0,1.0,0.0,0.0,Neutral
1158071,300.0,1500.0,General Store,Retail,"to purchase canned foods, basic grains, cooking oil, candies, detergents, seasonings, concentrates, etc. to stock the store.",SV,male,2016-09-26,0.0,1.0,0.0,0.0,Neutral
1303598,800.0,800.0,Food Production/Sales,Food,"to buy corn, lime, drinks, soap, detergents, eggs, etc., in order stock the inventory of her store and tortilla business.",SV,female,2017-05-22,0.0,1.0,0.0,0.0,Neutral
1064724,325.0,325.0,Retail,Retail,to purchase additional  purchase order cards,PH,female,2016-05-05,0.0,1.0,0.0,0.0,Neutral
725519,300.0,300.0,Fruits & Vegetables,Food,to purchase two sacks of coconuts for resale,KE,female,2014-06-16,0.0,1.0,0.0,0.0,Neutral
838063,475.0,475.0,Timber Sales,Construction,to buy coco lumber to sell in her business.,PH,female,2015-02-10,0.0,1.0,0.0,0.0,Neutral
1319967,8125.0,9000.0,Agriculture,Agriculture,"fund the purchase of tools, compost, fencing and market supplies for my new farm. ",US,female,2017-06-14,0.0,1.0,0.0,0.0,Neutral
1260749,950.0,950.0,Higher education costs,Education,to pay his course fees.,PY,male,2017-03-19,0.0,1.0,0.0,0.0,Neutral
1041086,375.0,375.0,Grocery Store,Food,"to buy rice, sugar, beans, sorghum, lard, eggs, soap, juices, cookies, gas, coffee, bread, churros, and much more.",HN,male,2016-03-18,0.0,1.0,0.0,0.0,Neutral
1142718,525.0,525.0,Agriculture,Agriculture,buy fertilizer and onion seed.,TJ,female,2016-08-31,0.0,1.0,0.0,0.0,Neutral
827834,300.0,300.0,Higher education costs,Education,to pay for her daughter's tuition fees.,PH,female,2015-01-14,0.0,1.0,0.0,0.0,Neutral
842198,150.0,150.0,Food,Food,to purchase 4 boxes of tomatoes and 12 packets of seasoning.,TG,female,2015-02-17,0.0,1.0,0.0,0.0,Neutral
691342,200.0,200.0,Farming,Agriculture,To purchase fertilizer and seeds to cultivate mustard,IN,female,2014-03-31,0.0,1.0,0.0,0.0,Neutral
827564,2475.0,2475.0,Sewing,Services,"to buy thread, fabric, and scissors",PE,"female, female, female, female, female, female",2015-01-13,0.0,1.0,0.0,0.0,Neutral
1117206,250.0,250.0,Printing,Services,to buy paper to make flyers and cards and to buy the materials for a sign for the business.,CO,female,2016-07-15,0.0,1.0,0.0,0.0,Neutral
804381,1150.0,1150.0,Agriculture,Agriculture,"to purchase a solar light, as well as hybrid seeds and fertilizer to improve harvests of maize.							",KE,"female, female, female, female, female, female, female, female, male, female",2014-11-24,0.0,1.0,0.0,0.0,Neutral
698896,250.0,250.0,Farming,Agriculture,"to buy seeds, fertilizer and other farm inputs",KE,male,2014-04-17,0.0,1.0,0.0,0.0,Neutral
1086430,250.0,250.0,Grocery Store,Food,"boost stock of vegetables, fruits and beans to sell to my clients who are growing.",KE,female,2014-12-05,0.0,1.0,0.0,0.0,Neutral
1056322,225.0,225.0,General Store,Retail,"to buy items to sell like canned goods, rice, home care products, and other groceries.",PH,female,2016-04-19,0.0,1.0,0.0,0.0,Neutral
768141,1000.0,1000.0,Agriculture,Agriculture,to buy fertilizer for his jimaca crop.,SV,male,2014-09-13,0.0,1.0,0.0,0.0,Neutral
1155804,1500.0,1500.0,Hardware,Retail,"to purchase paint, lavatories, pipes, nails, and screws.",PE,female,2016-09-22,0.0,1.0,0.0,0.0,Neutral
1210058,250.0,250.0,Food Stall,Food,"to buy corn, oil, yuca, bananas, potatoes, cheese and beans to sell traditional food from her food stall, and to buy drinks.",SV,female,2016-12-23,0.0,1.0,0.0,0.0,Neutral
1250397,750.0,750.0,Clothing Sales,Clothing,to buy more school items and clothing to sell.,GH,"female, female, female, female, female",2017-03-03,0.0,1.0,0.0,0.0,Neutral
919451,400.0,400.0,Agriculture,Agriculture,to buy seeds and fertilizer.,NP,female,2015-07-19,0.0,1.0,0.0,0.0,Neutral
861986,1000.0,1000.0,Farming,Agriculture,to gain access to cost efficient hybrid seeds and fertilizer for maize cultivation			,KE,"male, female, male, male, female, female, female, female, female, male",2015-03-26,0.0,1.0,0.0,0.0,Neutral
1054085,900.0,900.0,Farming,Agriculture,to buy cost efficient maize seeds and fertilizer for the coming harvesting season,KE,"female, female, male, female, female, male, male, female, male, female, male, female, male, female, female",2016-04-14,0.0,1.0,0.0,0.0,Neutral
887401,975.0,975.0,Agriculture,Agriculture,"to purchase a bull to plow the field better and, in this way, offer better service.",PE,male,2015-05-19,0.0,1.0,0.0,0.0,Neutral
753745,200.0,200.0,Home Appliances,Personal Use,to purchase a smokeless stove,IN,"female, female, female, female, female, female, female, female",2014-08-13,0.0,1.0,0.0,0.0,Neutral
1160885,275.0,275.0,Personal Housing Expenses,Housing,"Rabeca purchase cement, joists, 19 sheets of galvanized sheet metal, and 2 kg of nails for work on her home.",MZ,female,2016-09-30,0.0,1.0,0.0,0.0,Neutral
1202073,225.0,225.0,Grocery Store,Food,"to purchase fish, vegetables, and pork meat to sell.",PH,female,2016-12-12,0.0,1.0,0.0,0.0,Neutral
943742,275.0,275.0,Weaving,Arts,"to buy material like nito ( dried palm), buli (palm) and uway (used for binding)",PH,female,2015-09-04,0.0,1.0,0.0,0.0,Neutral
967797,550.0,550.0,Fish Selling,Food,to buy variety of fish to sell,PH,female,2015-10-23,0.0,1.0,0.0,0.0,Neutral
1326121,300.0,300.0,Pigs,Agriculture,"to buy feeds, other supplies, and vitamins to raise her pigs.",PH,female,2017-06-23,0.0,1.0,0.0,0.0,Neutral
1025380,125.0,125.0,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for her family.,KH,"female, female",2016-02-19,0.0,1.0,0.0,0.0,Neutral
1045001,1675.0,1675.0,Beverages,Food,to expand her business by purchasing more bananas to make local soft drinks to sell.,RW,"male, male, female, male, male, male, male, female, female, female, male",2016-03-28,0.0,1.0,0.0,0.0,Neutral
717451,425.0,425.0,Clothing Sales,Clothing,to buy women's clothes for resale,YE,"female, female, female",2014-05-28,0.0,1.0,0.0,0.0,Neutral
678562,1500.0,1500.0,Health,Health,To provide communities with free access to chlorine dispensers to treat their drinking water,KE,"female, female, female, female, female",2014-03-03,0.0,1.0,0.0,0.0,Neutral
690231,325.0,325.0,Farming,Agriculture,to buy fertilizers and seeds for her farmland,KH,"female, male",2014-03-28,0.0,1.0,0.0,0.0,Neutral
1337115,75.0,500.0,Cattle,Agriculture,Juan to buy a cow to raise.,SV,male,2017-07-10,0.0,1.0,0.0,0.0,Neutral
687659,725.0,725.0,Dairy,Agriculture,to buy a dairy cow to sell fresh milk. ,PE,male,2014-03-22,0.0,1.0,0.0,0.0,Neutral
999963,225.0,225.0,Charcoal Sales,Retail,to buy additional sacks of charcoal to sell.,PH,female,2015-12-24,0.0,1.0,0.0,0.0,Neutral
951097,675.0,675.0,Clothing Sales,Clothing,to buy and resell typical clothing from the region.,GT,"female, female, female",2015-09-21,0.0,1.0,0.0,0.0,Neutral
921343,625.0,625.0,Farming,Agriculture,to buy piglets for her farm and also fodder for her farm cattle,AM,female,2015-07-22,0.0,1.0,0.0,0.0,Neutral
829277,925.0,925.0,Home Appliances,Personal Use,to purchase a water filter to have access to safe drinking water.,LA,"female, male, female, female, male, male, male, male, male, male, male, male, male, female, male",2015-01-18,0.0,1.0,0.0,0.0,Neutral
1167838,425.0,425.0,Food Production/Sales,Food,to buy more frozen food to sell.,PH,female,2016-10-14,0.0,1.0,0.0,0.0,Neutral
1168999,225.0,225.0,General Store,Retail,to buy more stock to sell in her general store.,PH,female,2016-10-17,0.0,1.0,0.0,0.0,Neutral
968923,125.0,125.0,General Store,Retail,"to purchase additional stocks of groceries to sell like canned goods, noodles, spices, milk, drinks, bread, snack foods and other personal care products.",PH,female,2015-10-26,0.0,1.0,0.0,0.0,Neutral
1094713,75.0,75.0,Farming,Agriculture,to purchase improved farm inputs that will increase farm yields.,NG,male,2016-06-03,0.0,1.0,0.0,0.0,Neutral
1158153,525.0,525.0,General Store,Retail,"to buy crates of colas and beer and to place a shelf of candies, in order to offer greater variety to her customers.",EC,female,2016-09-26,0.0,1.0,0.0,0.0,Neutral
921053,750.0,750.0,Farming,Agriculture,to buy fertilizer and pay for labor fees to grow her rice crop well and increase her crop yields.,KH,"female, female",2015-07-22,0.0,1.0,0.0,0.0,Neutral
813175,975.0,975.0,Services,Services,to process more mobile phone airtime credits and utility bill payment transactions,ID,male,2014-12-11,0.0,1.0,0.0,0.0,Neutral
1254320,275.0,275.0,Farming,Agriculture,"to buy plastic bags, and other supplies needed in her business",PH,female,2017-03-10,0.0,1.0,0.0,0.0,Neutral
823904,875.0,875.0,Farming,Agriculture,To pay for farming inputs to increase maize crops yield,MZ,"female, female, male, male, male, female, male, male, male, male",2015-01-05,0.0,1.0,0.0,0.0,Neutral
660627,1025.0,1025.0,Sewing,Services,"to buy fabric, thread, elastic, buttons, zippers, and other supplies to make school uniforms",CR,female,2014-01-22,0.0,1.0,0.0,0.0,Neutral
969469,125.0,125.0,Pigs,Agriculture,"to buy feeds, vitamins, and other supplies to raise her livestock",PH,female,2015-10-27,0.0,1.0,0.0,0.0,Neutral
676315,200.0,200.0,Farming,Agriculture,"to buy fertilizer, seeds and a sprayer",PH,female,2014-02-25,0.0,1.0,0.0,0.0,Neutral
1092933,1175.0,1175.0,Fruits & Vegetables,Food,to increase his capital and buy a large quantity of tomatoes to sell to earn more.,BI,"female, female, female, female, male, female, female, female, male, female, female, female, female, female, female",2016-06-01,0.0,1.0,0.0,0.0,Neutral
780944,250.0,250.0,Personal Housing Expenses,Housing,to build a decent latrine for her family to use ,KH,"female, female",2014-10-10,0.0,1.0,0.0,0.0,Neutral
983110,650.0,650.0,Farming,Agriculture,"to pay for land preparation (like plowing, harrowing, leveling, seed bed preparation) and to purchase bags of fertilizers.",PH,female,2015-11-23,0.0,1.0,0.0,0.0,Neutral
1192098,225.0,225.0,Motorcycle Transport,Transportation,to pay for tricycle maintenance.,PH,male,2016-11-24,0.0,1.0,0.0,0.0,Neutral
1287023,825.0,825.0,Home Products Sales,Retail,to purchase tupperware and products from catalogues that she can sell.,GT,"female, female",2017-04-26,0.0,1.0,0.0,0.0,Neutral
713550,275.0,275.0,Food Production/Sales,Food,to buy ingredients for her food production business.,PH,female,2014-05-21,0.0,1.0,0.0,0.0,Neutral
1044773,525.0,525.0,Sewing,Services,to buy an updated computerized sewing machine.,TJ,female,2016-03-28,0.0,1.0,0.0,0.0,Neutral
1139121,600.0,600.0,Clothing,Clothing,"to buy clothing products such as huipiles, belts, and skirts.",GT,"female, female, female",2016-08-24,0.0,1.0,0.0,0.0,Neutral
1179022,350.0,350.0,Poultry,Agriculture,to buy chickens.,CO,female,2016-11-02,0.0,1.0,0.0,0.0,Neutral
1282136,125.0,125.0,Personal Expenses,Personal Use,to build a sanitary toilet for her family,PH,female,2017-04-20,0.0,1.0,0.0,0.0,Neutral
718867,275.0,275.0,General Store,Retail,"to buy more additional items to sell like canned goods, soap, shampoo, soft drinks, coffee, etc.",PH,female,2014-06-01,0.0,1.0,0.0,0.0,Neutral
1280387,450.0,450.0,Education provider,Education,"to purchase book, school supplies, and pay school fee for her children.",VN,female,2017-04-18,0.0,1.0,0.0,0.0,Neutral
754664,250.0,250.0,General Store,Retail,"to buy items to sell like shampoo, groceries, etc.  ",PH,female,2014-08-15,0.0,1.0,0.0,0.0,Neutral
902228,125.0,125.0,Transportation,Transportation,to buy spare parts and other materials,PH,female,2015-06-16,0.0,1.0,0.0,0.0,Neutral
